Time (s),Channel 1 (V),Channel 2 (V)
-0.00102389481555334,-0.1995447943610005,-0.01530924205435019
-0.00102364481555334,-0.199888216224919,-0.01462750385407148
-0.00102339481555334,-0.1995447943610007,-0.01462750385407148
-0.00102314481555334,-0.1995447943610005,-0.01496837295421068
-0.00102289481555334,-0.1995447943610005,-0.01496837295421084
-0.00102264481555334,-0.1998882162249192,-0.01496837295421084
-0.00102239481555334,-0.1992013724970819,-0.01496837295421084
-0.00102214481555334,-0.1992013724970819,-0.01462750385407148
-0.00102189481555334,-0.1992013724970816,-0.01462750385407148
-0.00102164481555334,-0.1985145287692448,-0.01462750385407148
-0.00102139481555334,-0.1988579506331631,-0.01462750385407148
-0.00102114481555334,-0.1988579506331631,-0.01428663475393213
-0.00102089481555334,-0.1995447943610005,-0.01428663475393213
-0.00102064481555334,-0.1998882162249192,-0.01462750385407148
-0.00102039481555334,-0.1995447943610002,-0.01496837295421068
-0.00102014481555334,-0.1988579506331634,-0.01462750385407164
-0.00101989481555334,-0.1995447943610002,-0.01428663475393228
-0.00101964481555334,-0.1992013724970819,-0.01462750385407148
-0.00101939481555334,-0.1985145287692445,-0.01462750385407148
-0.00101914481555334,-0.1985145287692445,-0.01462750385407148
-0.00101889481555334,-0.1992013724970819,-0.01530924205434988
-0.00101864481555334,-0.1992013724970825,-0.01462750385407179
-0.00101839481555334,-0.200575059952756,-0.01530924205434988
-0.00101814481555334,-0.2002316380888381,-0.01530924205435019
-0.00101789481555334,-0.1992013724970819,-0.01530924205435019
-0.00101764481555334,-0.1995447943610005,-0.01530924205435019
-0.00101739481555334,-0.1995447943610005,-0.01530924205435019
-0.00101714481555334,-0.1995447943610002,-0.01496837295421099
-0.00101689481555334,-0.1988579506331634,-0.01530924205435003
-0.00101664481555334,-0.1995447943610002,-0.01496837295421099
-0.00101639481555334,-0.1988579506331631,-0.01530924205435019
-0.00101614481555334,-0.1981711069053257,-0.01496837295421084
-0.00101589481555334,-0.1988579506331631,-0.01530924205435019
-0.00101564481555334,-0.1988579506331631,-0.01496837295421099
-0.00101539481555334,-0.1988579506331631,-0.01530924205435019
-0.00101514481555334,-0.1988579506331631,-0.01530924205435019
-0.00101489481555334,-0.1998882162249187,-0.01530924205435019
-0.00101464481555334,-0.1988579506331631,-0.01496837295421084
-0.00101439481555334,-0.1988579506331631,-0.01565011115448954
-0.00101414481555334,-0.1988579506331631,-0.01565011115448954
-0.00101389481555334,-0.1985145287692446,-0.01530924205435034
-0.00101364481555334,-0.1988579506331634,-0.01565011115448923
-0.00101339481555334,-0.1995447943610002,-0.01496837295421115
-0.00101314481555334,-0.1992013724970819,-0.01462750385407148
-0.00101289481555334,-0.1988579506331631,-0.01496837295421084
-0.00101264481555334,-0.1988579506331631,-0.01496837295421084
-0.00101239481555334,-0.1998882162249192,-0.01530924205435019
-0.00101214481555334,-0.1998882162249192,-0.01530924205435019
-0.00101189481555334,-0.1998882162249192,-0.01530924205435019
-0.00101164481555334,-0.1995447943610007,-0.01530924205435019
-0.00101139481555334,-0.1995447943610005,-0.01530924205435019
-0.00101114481555334,-0.1995447943610005,-0.01530924205435019
-0.00101089481555334,-0.1995447943610005,-0.01565011115448954
-0.00101064481555334,-0.2002316380888378,-0.01530924205435003
-0.00101039481555334,-0.199888216224919,-0.01496837295421099
-0.00101014481555334,-0.1995447943610007,-0.01530924205435003
-0.00100989481555334,-0.1998882162249192,-0.01565011115448954
-0.00100964481555334,-0.1985145287692445,-0.0159909802546289
-0.00100939481555334,-0.1985145287692445,-0.01530924205435019
-0.00100914481555334,-0.1995447943610005,-0.01496837295421084
-0.00100889481555334,-0.1995447943610004,-0.01496837295421084
-0.00100864481555334,-0.199201372497082,-0.01496837295421084
-0.00100839481555334,-0.1988579506331633,-0.01565011115448923
-0.00100814481555334,-0.1985145287692445,-0.01530924205435019
-0.00100789481555334,-0.1988579506331631,-0.01496837295421084
-0.00100764481555334,-0.1995447943610005,-0.01530924205435019
-0.00100739481555334,-0.1998882162249192,-0.01530924205435019
-0.00100714481555334,-0.1998882162249192,-0.0153092420543505
-0.00100689481555334,-0.1998882162249192,-0.01599098025462859
-0.00100664481555334,-0.2002316380888379,-0.01633184935476825
-0.00100639481555334,-0.2002316380888379,-0.01565011115448954
-0.00100614481555334,-0.1995447943610005,-0.0159909802546289
-0.00100589481555334,-0.1998882162249192,-0.0159909802546289
-0.00100564481555334,-0.1998882162249192,-0.01565011115448923
-0.00100539481555334,-0.1998882162249192,-0.01496837295421115
-0.00100514481555334,-0.1995447943610007,-0.01530924205435003
-0.00100489481555334,-0.1998882162249192,-0.01565011115448954
-0.00100464481555334,-0.1995447943610005,-0.01530924205435019
-0.00100439481555334,-0.1995447943610005,-0.01565011115448954
-0.00100414481555334,-0.1998882162249192,-0.01565011115448938
-0.00100389481555334,-0.1998882162249189,-0.0153092420543505
-0.00100364481555334,-0.1992013724970822,-0.01599098025462859
-0.00100339481555334,-0.1995447943610005,-0.0159909802546289
-0.00100314481555334,-0.1992013724970819,-0.01565011115448954
-0.00100289481555334,-0.1988579506331631,-0.01565011115448954
-0.00100264481555334,-0.1995447943610005,-0.01633184935476825
-0.00100239481555334,-0.199888216224919,-0.01667271845490744
-0.00100214481555334,-0.1995447943610007,-0.0163318493547684
-0.00100189481555334,-0.1995447943610005,-0.01565011115448985
-0.00100164481555334,-0.1992013724970819,-0.0159909802546289
-0.00100139481555334,-0.1995447943610005,-0.01565011115448954
-0.00100114481555334,-0.1998882162249192,-0.0159909802546289
-0.00100089481555334,-0.1992013724970817,-0.01565011115448954
-0.00100064481555334,-0.1988579506331631,-0.0156501111544897
-0.00100039481555334,-0.1988579506331631,-0.01599098025462874
-0.00100014481555334,-0.1981711069053257,-0.0159909802546289
-0.00099989481555334,0.1449073351494492,0.003438558453314251
-0.00099964481555334,0.201228520832115,0.006165511254429079
-0.0009993948155533399,0.2029456301517084,0.006506380354568433
-0.0009991448155533399,0.2039758957434643,0.006847249454707631
-0.0009988948155533401,0.203632473879546,0.006506380354568588
-0.0009986448155533401,0.2036324738795458,0.006506380354568433
-0.00099839481555334,0.2029456301517084,0.006506380354568433
-0.00099814481555334,0.2026022082877897,0.006847249454707786
-0.00099789481555334,0.202258786423871,0.006847249454707786
-0.0009976448155533399,0.201915364559952,0.006847249454707941
-0.0009973948155533399,0.2012285208321151,0.007188118554847139
-0.0009971448155533401,0.2015719426960335,0.007188118554847139
-0.00099689481555334,0.2015719426960336,0.006506380354568433
-0.00099664481555334,0.2008850989681962,0.006506380354568433
-0.00099639481555334,0.2005416771042776,0.006847249454707786
-0.0009961448155533399,0.201228520832115,0.006847249454707786
-0.0009958948155533399,0.2005416771042777,0.006847249454708096
-0.0009956448155533401,0.2008850989681961,0.007528987654986183
-0.0009953948155533401,0.2005416771042777,0.007188118554847294
-0.00099514481555334,0.2001982552403589,0.007869856755125845
-0.00099489481555334,0.2015719426960336,0.007188118554847139
-0.00099464481555334,0.201228520832115,0.008210725855265199
-0.0009943948155533399,0.2008850989681959,0.007869856755125845
-0.0009941448155533399,0.2001982552403587,0.007869856755125691
-0.0009938948155533401,0.1998548333764403,0.007528987654986648
-0.00099364481555334,0.1998548333764402,0.008210725855264889
-0.00099339481555334,0.2001982552403589,0.007528987654986493
-0.00099314481555334,0.2001982552403589,0.007869856755125845
-0.0009928948155533399,0.1995114115125215,0.007869856755125845
-0.0009926448155533399,0.1998548333764402,0.008210725855265199
-0.0009923948155533399,0.19985483337644,0.008210725855265199
-0.0009921448155533401,0.1995114115125217,0.008210725855265199
-0.00099189481555334,0.1995114115125215,0.007528987654986493
-0.00099164481555334,0.2001982552403589,0.008210725855265199
-0.00099139481555334,0.2005416771042776,0.007869856755125845
-0.0009911448155533399,0.2005416771042776,0.007528987654986493
-0.0009908948155533399,0.2005416771042773,0.008210725855265199
-0.0009906448155533401,0.1998548333764405,0.008210725855265199
-0.00099039481555334,0.1998548333764402,0.008551594955404399
-0.00099014481555334,0.1998548333764402,0.008210725855265199
-0.00098989481555334,0.1998548333764402,0.008551594955404553
-0.0009896448155533399,0.1995114115125215,0.008210725855265199
-0.0009893948155533399,0.1991679896486026,0.008210725855265199
-0.0009891448155533399,0.1988245677846846,0.008210725855265199
-0.0009888948155533401,0.1998548333764397,0.008210725855265199
-0.00098864481555334,0.1995114115125215,0.008551594955404553
-0.00098839481555334,0.2005416771042776,0.008551594955404553
-0.00098814481555334,0.2005416771042776,0.008892464055543907
-0.0009878948155533399,0.1995114115125215,0.008551594955404553
-0.0009876448155533399,0.1998548333764402,0.008551594955404399
-0.0009873948155533401,0.1998548333764402,0.008210725855265354
-0.0009871448155533401,0.1995114115125217,0.008551594955404399
-0.00098689481555334,0.2001982552403589,0.008210725855265199
-0.00098664481555334,0.1998548333764402,0.007869856755125845
-0.00098639481555334,0.1998548333764402,0.008551594955404553
-0.0009861448155533399,0.2001982552403586,0.008551594955404708
-0.0009858948155533399,0.1995114115125217,0.008892464055544062
-0.0009856448155533401,0.19985483337644,0.009233333155683105
-0.00098539481555334,0.1991679896486028,0.00923333315568326
-0.00098514481555334,0.1988245677846841,0.008892464055543907
-0.00098489481555334,0.1998548333764402,0.008892464055543907
-0.0009846448155533399,0.1991679896486028,0.008892464055543907
-0.0009843948155533399,0.1988245677846843,0.009233333155683105
-0.0009841448155533401,0.1991679896486026,0.008892464055544062
-0.0009838948155533401,0.1991679896486028,0.009233333155683105
-0.00098364481555334,0.1988245677846841,0.00923333315568326
-0.00098339481555334,0.1988245677846841,0.008892464055543907
-0.00098314481555334,0.1991679896486028,0.008551594955404553
-0.0009828948155533399,0.1998548333764402,0.008892464055544218
-0.0009826448155533399,0.1998548333764397,0.009574202255822303
-0.0009823948155533401,0.1988245677846846,0.008892464055544218
-0.00098214481555334,0.1998548333764402,0.00923333315568326
-0.00098189481555334,0.1998548333764402,0.00923333315568326
-0.00098164481555334,0.1995114115125215,0.00923333315568326
-0.0009813948155533399,0.1991679896486028,0.009574202255822613
-0.0009811448155533399,0.1991679896486028,0.009233333155683414
-0.0009808948155533401,0.1991679896486028,0.009574202255822459
-0.0009806448155533401,0.1995114115125213,0.009915071355961813
-0.00098039481555334,0.1988245677846841,0.009574202255822613
-0.00098014481555334,0.1991679896486028,0.009574202255822613
-0.00097989481555334,0.1995114115125215,0.009574202255822613
-0.0009796448155533399,0.1991679896486031,0.009233333155683414
-0.0009793948155533399,0.1998548333764399,0.009574202255822459
-0.0009791448155533401,0.1991679896486031,0.009233333155683414
-0.00097889481555334,0.1995114115125215,0.009574202255822613
-0.00097864481555334,0.1995114115125215,0.009574202255822613
-0.00097839481555334,0.1998548333764402,0.01025594045610132
-0.0009781448155533399,0.1998548333764402,0.009915071355961967
-0.0009778948155533399,0.1998548333764402,0.009574202255822924
-0.0009776448155533401,0.1998548333764402,0.01025594045610101
-0.0009773948155533401,0.1995114115125217,0.009915071355962122
-0.00097714481555334,0.1991679896486028,0.009574202255822613
-0.00097689481555334,0.1998548333764402,0.009574202255822613
-0.00097664481555334,0.1991679896486028,0.00923333315568326
-0.00097639481555334,0.1998548333764402,0.01025594045610132
-0.00097614481555334,0.1995114115125215,0.009574202255822613
-0.00097589481555334,0.1995114115125215,0.009574202255822613
-0.0009756448155533399,0.1998548333764402,0.009915071355961967
-0.00097539481555334,0.1995114115125215,0.009574202255822613
-0.00097514481555334,0.1998548333764402,0.00923333315568326
-0.0009748948155533399,0.1991679896486028,0.009915071355961967
-0.00097464481555334,0.1991679896486028,0.009915071355961967
-0.00097439481555334,0.1988245677846841,0.009574202255822613
-0.00097414481555334,0.1988245677846841,0.009915071355961967
-0.00097389481555334,0.1995114115125215,0.009915071355961967
-0.00097364481555334,0.1998548333764402,0.009915071355961967
-0.00097339481555334,0.1998548333764402,0.009915071355961967
-0.00097314481555334,0.1998548333764402,0.009915071355961967
-0.00097289481555334,0.1995114115125215,0.009915071355961967
-0.00097264481555334,0.1991679896486028,0.01025594045610132
-0.0009723948155533399,0.1991679896486028,0.009915071355961967
-0.00097214481555334,0.1988245677846841,0.009574202255822613
-0.00097189481555334,0.1988245677846841,0.009915071355961967
-0.0009716448155533399,0.1984811459207654,0.01025594045610132
-0.00097139481555334,0.1984811459207654,0.01025594045610132
-0.00097114481555334,0.1998548333764402,0.009915071355961967
-0.00097089481555334,0.1991679896486028,0.01059680955624067
-0.00097064481555334,0.1991679896486028,0.01059680955624067
-0.00097039481555334,0.1995114115125215,0.009915071355961967
-0.00097014481555334,0.1995114115125215,0.01025594045610132
-0.00096989481555334,0.1991679896486028,0.009915071355961967
-0.00096964481555334,0.1998548333764402,0.009574202255822613
-0.00096939481555334,0.1991679896486028,0.009915071355961967
-0.0009691448155533399,0.1995114115125215,0.009574202255822613
-0.00096889481555334,0.1998548333764402,0.00923333315568326
-0.00096864481555334,0.1995114115125215,0.008892464055543907
-0.0009683948155533399,0.1991679896486028,0.009574202255822613
-0.00096814481555334,0.1995114115125215,0.009574202255822613
-0.00096789481555334,0.1988245677846841,0.01025594045610132
-0.00096764481555334,0.1984811459207654,0.01025594045610132
-0.00096739481555334,0.197794302192928,0.01025594045610132
-0.00096714481555334,0.1988245677846841,0.01025594045610132
-0.00096689481555334,0.1981377240568467,0.01025594045610132
-0.00096664481555334,0.1981377240568467,0.01059680955624067
-0.00096639481555334,0.1981377240568467,0.01059680955624067
-0.00096614481555334,0.1988245677846841,0.01025594045610132
-0.0009658948155533399,0.1991679896486028,0.01093767865638003
-0.00096564481555334,0.1998548333764402,0.01127854775651938
-0.00096539481555334,0.1991679896486028,0.01059680955624067
-0.0009651448155533399,0.1991679896486028,0.009915071355961967
-0.00096489481555334,0.1991679896486028,0.01059680955624067
-0.00096464481555334,0.1988245677846841,0.01093767865638003
-0.00096439481555334,0.1984811459207654,0.01093767865638003
-0.00096414481555334,0.1988245677846841,0.01093767865638003
-0.00096389481555334,0.1988245677846841,0.01059680955624067
-0.00096364481555334,0.1991679896486028,0.01059680955624067
-0.0009633948155533399,0.1991679896486028,0.01059680955624067
-0.00096314481555334,0.1995114115125215,0.01025594045610132
-0.00096289481555334,0.1998548333764402,0.01059680955624067
-0.0009626448155533399,0.1991679896486028,0.01025594045610132
-0.00096239481555334,0.1984811459207654,0.01025594045610132
-0.00096214481555334,0.1991679896486028,0.009915071355961967
-0.00096189481555334,0.1995114115125215,0.01025594045610132
-0.00096164481555334,0.1995114115125215,0.01059680955624067
-0.00096139481555334,0.1998548333764402,0.01059680955624067
-0.00096114481555334,0.1995114115125215,0.01093767865638003
-0.00096089481555334,0.1995114115125215,0.01059680955624067
-0.00096064481555334,0.1995114115125215,0.01059680955624067
-0.00096039481555334,0.1991679896486028,0.01093767865638003
-0.0009601448155533399,0.1991679896486028,0.009915071355961967
-0.00095989481555334,0.1991679896486028,0.01025594045610132
-0.00095964481555334,0.1995114115125215,0.01093767865638003
-0.0009593948155533399,0.1991679896486028,0.01059680955624067
-0.00095914481555334,0.1988245677846841,0.01025594045610132
-0.00095889481555334,0.1991679896486028,0.01093767865638003
-0.00095864481555334,0.1998548333764402,0.01127854775651938
-0.00095839481555334,0.1981377240568467,0.01127854775651938
-0.00095814481555334,0.1984811459207654,0.01161941685665873
-0.00095789481555334,0.1984811459207654,0.01093767865638003
-0.00095764481555334,0.1984811459207654,0.01059680955624067
-0.00095739481555334,0.1991679896486028,0.01127854775651938
-0.00095714481555334,0.1995114115125215,0.01093767865638003
-0.0009568948155533399,0.1984811459207654,0.01093767865638003
-0.00095664481555334,0.1988245677846841,0.01093767865638003
-0.00095639481555334,0.1995114115125215,0.01196028595679809
-0.0009561448155533399,0.1998548333764402,0.01127854775651938
-0.00095589481555334,0.1995114115125215,0.01093767865638003
-0.00095564481555334,0.1991679896486028,0.01127854775651938
-0.00095539481555334,0.1991679896486028,0.01127854775651938
-0.00095514481555334,0.1988245677846841,0.01093767865638003
-0.00095489481555334,0.1988245677846841,0.01127854775651938
-0.00095464481555334,0.1981377240568467,0.01093767865638003
-0.00095439481555334,0.1988245677846841,0.01127854775651938
-0.00095414481555334,0.1988245677846841,0.01127854775651938
-0.00095389481555334,0.1988245677846841,0.01127854775651938
-0.0009536448155533399,0.1998548333764402,0.01196028595679809
-0.00095339481555334,0.1991679896486028,0.01196028595679809
-0.00095314481555334,0.1995114115125215,0.01127854775651938
-0.00095289481555334,0.1991679896486028,0.01161941685665873
-0.00095264481555334,0.1984811459207654,0.01161941685665873
-0.00095239481555334,0.1984811459207654,0.01230115505693744
-0.00095214481555334,0.1984811459207654,0.01196028595679809
-0.00095189481555334,0.1981377240568467,0.01161941685665873
-0.00095164481555334,0.1984811459207654,0.01196028595679809
-0.00095139481555334,0.1991679896486028,0.01161941685665873
-0.0009511448155533399,0.1988245677846841,0.01161941685665873
-0.00095089481555334,0.1995114115125215,0.01161941685665873
-0.00095064481555334,0.1998548333764402,0.01161941685665873
-0.0009503948155533399,0.1984811459207654,0.01161941685665873
-0.00095014481555334,0.1991679896486028,0.01161941685665873
-0.00094989481555334,0.1988245677846841,0.01127854775651938
-0.00094964481555334,0.1991679896486028,0.01196028595679809
-0.00094939481555334,0.1988245677846841,0.01127854775651938
-0.00094914481555334,0.1988245677846841,0.01161941685665873
-0.00094889481555334,0.1988245677846841,0.01161941685665873
-0.00094864481555334,0.1991679896486028,0.01161941685665873
-0.00094839481555334,0.1988245677846841,0.01161941685665873
-0.00094814481555334,0.1998548333764402,0.01196028595679809
-0.0009478948155533399,0.1984811459207654,0.01196028595679809
-0.00094764481555334,0.1988245677846841,0.01230115505693744
-0.00094739481555334,0.1991679896486028,0.01196028595679809
-0.0009471448155533399,0.1984811459207654,0.01230115505693744
-0.00094689481555334,0.1984811459207654,0.01230115505693744
-0.00094664481555334,0.197794302192928,0.01196028595679809
-0.00094639481555334,0.1988245677846841,0.01264202415707679
-0.00094614481555334,0.1981377240568467,0.01196028595679809
-0.00094589481555334,0.1991679896486028,0.01196028595679809
-0.00094564481555334,0.1991679896486028,0.01196028595679809
-0.00094539481555334,0.1991679896486028,0.01161941685665873
-0.00094514481555334,0.1995114115125215,0.01196028595679809
-0.00094489481555334,0.1991679896486028,0.01127854775651938
-0.0009446448155533399,0.1988245677846841,0.01161941685665873
-0.00094439481555334,0.1988245677846841,0.01127854775651938
-0.00094414481555334,0.1995114115125215,0.01161941685665873
-0.0009438948155533399,0.1981377240568467,0.01161941685665873
-0.00094364481555334,0.197794302192928,0.01196028595679809
-0.00094339481555334,0.1981377240568467,0.01161941685665873
-0.00094314481555334,0.1984811459207654,0.01230115505693744
-0.00094289481555334,0.1988245677846841,0.01230115505693744
-0.00094264481555334,0.1984811459207654,0.01264202415707679
-0.00094239481555334,0.1988245677846841,0.01230115505693744
-0.00094214481555334,0.1988245677846841,0.01196028595679809
-0.00094189481555334,0.1988245677846841,0.01161941685665873
-0.00094164481555334,0.1988245677846841,0.01161941685665873
-0.0009413948155533399,0.1981377240568467,0.01161941685665873
-0.00094114481555334,0.1981377240568467,0.01196028595679809
-0.00094089481555334,0.1981377240568467,0.01161941685665873
-0.00094064481555334,0.1981377240568467,0.01196028595679809
-0.00094039481555334,0.197794302192928,0.01230115505693744
-0.00094014481555334,0.1981377240568467,0.01230115505693744
-0.00093989481555334,0.1988245677846841,0.01298289325721615
-0.00093964481555334,0.1984811459207654,0.01264202415707679
-0.00093939481555334,0.1984811459207654,0.01230115505693744
-0.00093914481555334,0.1981377240568467,0.01230115505693744
-0.0009388948155533399,0.1984811459207654,0.01196028595679809
-0.00093864481555334,0.1981377240568467,0.01196028595679809
-0.00093839481555334,0.1984811459207654,0.01230115505693744
-0.0009381448155533399,0.1988245677846841,0.01196028595679809
-0.00093789481555334,0.1984811459207654,0.01230115505693744
-0.00093764481555334,0.197794302192928,0.01230115505693744
-0.00093739481555334,0.1981377240568467,0.01264202415707679
-0.00093714481555334,0.1984811459207654,0.01230115505693744
-0.00093689481555334,0.1984811459207654,0.01264202415707679
-0.00093664481555334,0.1984811459207654,0.01298289325721615
-0.00093639481555334,0.1984811459207654,0.0133237623573555
-0.00093614481555334,0.1984811459207654,0.01264202415707679
-0.00093589481555334,0.1988245677846841,0.01264202415707679
-0.0009356448155533399,0.197794302192928,0.01264202415707679
-0.00093539481555334,0.1984811459207654,0.01230115505693744
-0.00093514481555334,0.1984811459207654,0.01264202415707679
-0.0009348948155533399,0.1981377240568467,0.01264202415707679
-0.00093464481555334,0.1981377240568467,0.01264202415707679
-0.00093439481555334,0.1988245677846841,0.01230115505693744
-0.00093414481555334,0.1984811459207654,0.01264202415707679
-0.00093389481555334,0.1984811459207654,0.01264202415707679
-0.00093364481555334,0.1991679896486028,0.01264202415707679
-0.00093339481555334,0.1991679896486028,0.01264202415707679
-0.00093314481555334,0.1984811459207654,0.01298289325721615
-0.00093289481555334,0.1991679896486028,0.01264202415707679
-0.00093264481555334,0.1988245677846841,0.01298289325721615
-0.0009323948155533399,0.1984811459207654,0.01264202415707679
-0.00093214481555334,0.1984811459207654,0.01264202415707679
-0.00093189481555334,0.1984811459207654,0.01264202415707679
-0.0009316448155533399,0.1995114115125215,0.01264202415707679
-0.00093139481555334,0.1984811459207654,0.01230115505693744
-0.00093114481555334,0.1981377240568467,0.01230115505693744
-0.00093089481555334,0.1984811459207654,0.01298289325721615
-0.00093064481555334,0.1981377240568467,0.01264202415707679
-0.00093039481555334,0.197794302192928,0.01298289325721615
-0.00093014481555334,0.1988245677846841,0.01230115505693744
-0.00092989481555334,0.1981377240568467,0.01230115505693744
-0.00092964481555334,0.1991679896486028,0.01264202415707679
-0.00092939481555334,0.1995114115125215,0.01230115505693744
-0.0009291448155533399,0.1995114115125215,0.01230115505693744
-0.00092889481555334,0.1991679896486028,0.01298289325721615
-0.00092864481555334,0.1998548333764402,0.01298289325721615
-0.00092839481555334,0.1995114115125215,0.0133237623573555
-0.00092814481555334,0.1988245677846841,0.01366463145749485
-0.00092789481555334,0.1991679896486028,0.0133237623573555
-0.00092764481555334,0.1988245677846841,0.0133237623573555
-0.00092739481555334,0.1981377240568467,0.0133237623573555
-0.00092714481555334,0.1984811459207654,0.0133237623573555
-0.00092689481555334,0.1991679896486028,0.01264202415707679
-0.0009266448155533399,0.1991679896486028,0.01264202415707679
-0.00092639481555334,0.1988245677846841,0.01298289325721615
-0.00092614481555334,0.1981377240568467,0.01264202415707679
-0.0009258948155533399,0.1988245677846841,0.0133237623573555
-0.00092564481555334,0.1984811459207654,0.01298289325721615
-0.00092539481555334,0.1981377240568467,0.01298289325721615
-0.00092514481555334,0.197794302192928,0.01298289325721615
-0.00092489481555334,0.1984811459207654,0.01366463145749485
-0.00092464481555334,0.1981377240568467,0.01366463145749485
-0.00092439481555334,0.197794302192928,0.0133237623573555
-0.00092414481555334,0.1991679896486028,0.01298289325721615
-0.00092389481555334,0.1991679896486028,0.01366463145749485
-0.00092364481555334,0.1988245677846841,0.01366463145749485
-0.0009233948155533399,0.1995114115125215,0.0133237623573555
-0.00092314481555334,0.1991679896486028,0.01400550055763421
